110.	Комплектующие (запасные части) электрических машин и оборудования для пайки мягким и твердым припоем и сварки, не имеющие самостоятельных группировок	27.90.32.110	70
111.	Дизели судовые	28.11.13.120	65
112.	Насосы возвратно-поступательные объемного действия прочие для перекачки жидкостей	28.13.12	80
113.	Насосы роторные объемные прочие для перекачки жидкостей	28.13.13	80
114.	Насосы центробежные подачи жидкостей прочие; насосы прочие	28.13.14	80
115.	Компрессоры воздушные передвижные на колесных шасси	28.13.24	90
116.	Турбокомпрессоры	28.13.25	80
117.	Компрессоры поршневые объемные	28.13.26	60
118.	Компрессоры прочие	28.13.28	80
119.	Комплектующие (запасные части) насосов, не имеющие самостоятельных группировок	28.13.31.110	70
120.	Клапаны редукционные	28.14.11.110	70
121.	Арматура регулирующая	28.14.11.120	70
122.	Арматура обратная	28.14.11.130	95
123.	Арматура предохранительная	28.14.11.140	90
124.	Арматура распределительно-смесительная	28.14.11.160	95
125.	Арматура отключающая	28.14.11.170	85
126.	Клапаны запорные	28.14.13.110	90
127.	Задвижки	28.14.13.120	95
128.	Краны (шаровые, конусные и цилиндрические)	28.14.13.131	90
129.	Затворы дисковые	28.14.13.132	90
130.	Арматура специальная для области использования атомной энергии	28.14.13.170	95
131.	Электропечи сопротивления	28.21.13.111	90
132.	Электропечи и камеры промышленные или лабораторные прочие, не включенные в другие группировки	28.21.13.119	90
133.	Тали электрические канатные	28.22.11.112	90
134.	Краны мостовые электрические	28.22.14.121	90
135.	Краны козловые и полукозловые электрические	28.22.14.122	90
136.	Краны портальные	28.22.14.140	90
137.	Краны грузоподъемные стрелкового типа	28.22.14.125	90
138.	Краны башенные строительные	28.22.14.126	90
139.	Краны на гусеничном ходу	28.22.14.151	90
140.	Машины самоходные и тележки, оснащенные подъемным краном, прочие, не включенные в другие группировки	28.22.14.159	90
141.	Автопогрузчики с вилочным захватом	28.22.15.110	87
142.	Погрузчики прочие	28.22.15.120	87
143.	Лифты	28.22.16.110	90
144.	Склады - накопители механизированные	28.22.18.261	90
145.	Машины подъемные для механизации складов прочие, не включенные в другие группировки	28.22.18.269	60
146.	Оборудование подъемно-транспортное и погрузочно-разгрузочное прочее, не включенное в другие группировки	28.22.18.390	60
147.	Машины офисные и оборудование, кроме компьютеров и периферийного оборудования	28.23	37
148.	Инструменты ручные электрические; инструменты ручные прочие с механизированным приводом	28.24.1	80
149.	Теплообменники и машины для сжижения воздуха или прочих газов	28.25.11	90
150.	Шкафы холодильные	28.25.13.111	80
151.	Холодильные, морозильные камеры медицинские	28.25.13.116	95
152.	Камеры холодильные сборные	28.25.13.112	75
153.	Оборудование и установки для фильтрования или очистки газов, не включенные в другие группировки. Эта группировка не включает машины и аппараты для разделения жидких и газовых неоднородных систем в радиохимическом производстве и изготовлении тепловыделяющих элементов, за исключением товаров, предусмотренных позициями 154 и 155 настоящего приложения	28.25.14	60
154.	Оборудование и установки для фильтрования или очистки воздуха	28.25.14.110	95
155.	Оборудование газоочистное и пылеулавливающее	28.25.14.120	65
156.	Оборудование и установки для фильтрования или очистки жидкостей	28.29.12	60
157.	Машины посудомоечные промышленного типа	28.29.50.000	90
158.	Установки для обработки материалов с использованием процессов, включающих изменение температуры, не включенные в другие группировки	28.29.60	70
159.	Машины и оборудование для сельского и лесного хозяйства	28.3	50
160.	Станки для обработки металлов лазером и станки аналогичного типа; обрабатывающие центры и станки аналогичного типа	28.41.1	80
161.	Станки токарные, расточные и фрезерные металлорежущие	28.41.2	80
162.	Станки металлообрабатывающие прочие	28.41.3	80
163.	Части и принадлежности станков для обработки металлов	28.41.4	80
164.	Станки для обработки камня, дерева и аналогичных твердых материалов	28.49.1	70
165.	Оправки для крепления инструмента	28.49.2	75
166.	Машины бурильные	28.92.12.130	88
167.	Бульдозеры и бульдозеры с поворотным отвалом	28.92.21	90
168.	Грейдеры и планировщики самоходные	28.92.22	90
169.	Машины трамбовочные самоходные	28.92.24.110	90
170.	Катки дорожные самоходные	28.92.24.120	90
171.	Погрузчики фронтальные одноковшовые самоходные	28.92.25.000	50
172.	Экскаваторы самоходные одноковшовые	28.92.26.110	80
173.	Погрузчики одноковшовые самоходные прочие	28.92.27.120	90
174.	Машины самоходные для добычи полезных ископаемых прочие	28.92.27.190	90
175.	Автомобили-самосвалы, предназначенные для использования в условиях бездорожья	28.92.29.000	90
176.	Машины для укладки гравия на дороге или аналогичных поверхностях, для поливки и пропитки поверхностей дорог битумными материалами	28.92.30.160	37
177.	Машины для выемки грунта и строительства прочие, не включенные в другие группировки	28.92.30.190	90
178.	Машины для дробления грунта, камня, руды и прочих минеральных веществ	28.92.40.120	90
179.	Комплектующие (запасные части) бурильных и проходческих машин, не имеющие самостоятельных группировок	28.92.61.110	80
180.	Части машин для сортировки, дробления или прочих способов обработки грунта, камня и аналогичных материалов	28.92.62.000	70
181.	Печи хлебопекарные неэлектрические	28.93.15.110	90
182.	Оборудование для промышленного приготовления или подогрева пищи	28.93.15.120	90
183.	Машины для переработки мяса, овощей и теста (оборудование для механической обработки продуктов на предприятиях общественного питания)	28.93.17.110	90
184.	Оборудование для производства хлебобулочных изделий	28.93.17.120	90
185.	Машины для очистки, сортировки или калибровки семян, зерна или сухих бобовых культур	28.93.2	90
186.	Оборудование для текстильного, швейного и кожевенного производства	28.94	40
187.	Аддитивные установки экструзии материала	28.96.10.122	70
188.	Аддитивные установки струйного нанесения связующего	28.96.10.123	70
189.	Машины сушильные промышленные, не включенные в другие группировки	28.99.31.120	70
190.	Автомобили легковые	29.10.2	60
191.	Средства автотранспортные для перевозки 10 или более человек	29.10.3	80
192.	Средства автотранспортные грузовые	29.10.4	70
193.	Автокраны	29.10.51.000	90
194.	Средства транспортные снегоходные	29.10.52.110	90
195.	Квадроциклы	29.10.52.130	90
196.	Средства автотранспортные для транспортирования строительных материалов	29.10.59.110	90
197.	Средства транспортные для коммунального хозяйства и содержания дорог	29.10.59.130	90
198.	Автомобили пожарные	29.10.59.140	90
199.	Средства транспортные для обслуживания нефтяных и газовых скважин	29.10.59.180	90
200.	Средства транспортные для перевозки нефтепродуктов	29.10.59.230	90
201.	Средства транспортные для перевозки пищевых жидкостей	29.10.59.240	90
202.	Средства транспортные для перевозки сжиженных углеводородных газов на давление до 1,8 МПа	29.10.59.250	90
203.	Средства транспортные, оснащенные подъемниками с рабочими платформами	29.10.59.270	90
204.	Средства транспортные, оснащенные кранами-манипуляторами	29.10.59.310	90
205.	Средства транспортные - фургоны для перевозки пищевых продуктов	29.10.59.280	90
206.	Снегоочистители	29.10.59.320	85
207.	Средства автотранспортные специального назначения прочие, не включенные в другие группировки	29.10.59.390	90
208.	Прицепы (полуприцепы) к легковым и грузовым автомобилям, мотоциклам, мотороллерам и квадрициклам	29.20.23.110	90
209.	Прицепы-цистерны и полуприцепы-цистерны для перевозки нефтепродуктов, воды и прочих жидкостей	29.20.23.120	90
210.	Прицепы и полуприцепы тракторные	29.20.23.130	90
211.	Прицепы и полуприцепы прочие, не включенные в другие группировки	29.20.23.190	90
212.	Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов	30.11.21	90
213.	Танкеры для перевозки нефти, нефтепродуктов, химических продуктов, сжиженного газа	30.11.22	90
214.	Суда рефрижераторные, кроме танкеров	30.11.23	90
215.	Суда сухогрузные	30.11.24	90
216.	Суда рыболовные; суда-рыбозаводы и прочие суда для переработки или консервирования рыбных продуктов	30.11.31	90
217.	Буксиры и суда-толкачи	30.11.32	90
218.	Земснаряды, плавучие маяки, плавучие краны, прочие суда	30.11.33	90
219.	Платформы плавучие или погружные и инфраструктура	30.11.40	90
220.	Конструкции плавучие прочие (включая плоты, понтоны, кессоны, дебаркадеры, буи и бакены)	30.11.50	90
221.	Суда прогулочные	30.12	90
222.	Локомотивы железнодорожные и тендеры локомотивов	30.20.1	90
223.	Вагоны железнодорожные или трамвайные пассажирские самоходные (моторные), вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта	30.20.2	90
224.	Средства транспортные, предназначенные для технического обслуживания или ремонта железнодорожных или трамвайных путей	30.20.31	90
225.	Вагоны железнодорожные или трамвайные пассажирские немоторные; вагоны багажные и прочие вагоны специального назначения	30.20.32	90
226.	Вагоны железнодорожные или трамвайные грузовые и вагоны-платформы, несамоходные	30.20.33	90
227.	Комплектующие (запасные части) железнодорожных локомотивов, не имеющие самостоятельных группировок	30.20.40.110	80
228.	Комплектующие (запасные части) моторных трамвайных вагонов, не имеющие самостоятельных группировок	30.20.40.120	80
229.	Комплектующие (запасные части) вагонов метрополитена, не имеющие самостоятельных группировок	30.20.40.130	80
230.	Комплектующие (запасные части) прочего подвижного состава, не имеющие самостоятельных группировок	30.20.40.140	80
231.	Мебель металлическая для офисов	31.01.11	75
232.	Мебель деревянная для офисов	31.01.12	75
233.	Мебель кухонная	31.02.10	75
234.	Матрасы	31.03.1	75
235.	Мебель металлическая, не включенная в другие группировки	31.09.11	75
236.	Мебель деревянная для спальни, столовой и гостиной	31.09.12	75
237.	Мебель деревянная, не включенная в другие группировки	31.09.13	75
238.	Мебель из пластмассовых материалов	31.09.14.110	75
239.	Пианино	32.20.11.120	70
240.	Рояли	32.20.11.130	30
241.	Скрипки	32.20.12.111	40
242.	Альты	32.20.12.112	40
243.	Виолончели	32.20.12.113	40
244.	Контрабасы	32.20.12.114	30
245.	Балалайки	32.20.12.121	90
246.	Гитары	32.20.12.122	50
247.	Домры	32.20.12.124	50
248.	Инструменты струнные щипковые национальные	32.20.12.126	90
249.	Аккордеоны	32.20.13.131	40
250.	Баяны	32.20.13.132	60
251.	Гармони	32.20.13.133	90
252.	Трубы	32.20.13.161	40
253.	Альты	32.20.13.163	40
254.	Теноры	32.20.13.164	40
255.	Баритоны	32.20.13.165	50
256.	Басы (включая тубы, геликоны, сузофоны)	32.20.13.166	50
257.	Валторны	32.20.13.167	50
258.	Тромбоны	32.20.13.168	70
259.	Флейты	32.20.13.173	50
260.	Кларнеты	32.20.13.174	50
261.	Саксофоны	32.20.13.175	60
262.	Гобои	32.20.13.176	60
263.	Фаготы	32.20.13.177	40
264.	Инструменты музыкальные ударные	32.20.15.110	40
265.	Лыжи	32.30.11.110	65
266.	Снаряжение лыжное, кроме обуви	32.30.11.120	55
267.	Коньки ледовые, включая коньки с ботинками	32.30.11.131	65
268.	Ботинки лыжные	32.30.12.110	65
269.	Инвентарь и оборудование для занятий физкультурой, гимнастикой и атлетикой	32.30.14.110	28
270.	Инвентарь для игры в хоккей с шайбой и мячом	32.30.15.117	65
271.	Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки	32.50.13.190	40
272.	Стерилизаторы воздушные; стерилизаторы паровые	32.50.12	95
273.	Инкубаторы для новорожденных	32.50.21.160	30
274.	Аппараты для ингаляционного наркоза	32.50.21.121	70
275.	Аппараты искусственной вентиляции легких	32.50.21.121, 32.50.21.122	70
276.	Одежда защитная огнестойкая	32.99.11.140	90
277.	Площадки спортивные для спортивных игр на открытом воздухе	42.99.12.110	55
