52.	Манипуляторы погрузочные и разгрузочные	28.22.18.314
53.	Инструменты ручные электрические; инструменты ручные прочие с механизированным приводом	28.24.1
54.	Части ручных инструментов с механизированным приводом	28.24.2
55.	Кондиционеры промышленные	28.25.12.110
56.	Шкафы холодильные	28.25.13.111
57.	Камеры холодильные сборные	28.25.13.112
58.	Витрины холодильные	28.25.13.114
59.	Оборудование для охлаждения и заморозки жидкостей	28.25.13.115
60.	Машины посудомоечные промышленного типа	28.29.50.000
61.	Оборудование и инструменты неэлектрические для пайки мягким и твердым припоем или сварки, и их части; машины и аппараты для газотермического напыления	28.29.70
62.	Машины и оборудование для сельского и лесного хозяйства	28.30
63.	Станки для обработки металлов лазером и станки аналогичного типа; обрабатывающие центры и станки аналогичного типа	28.41.1
64.	Станки токарные, расточные и фрезерные металлорежущие	28.41.2
65.	Станки металлообрабатывающие прочие	28.41.3
66.	Части и принадлежности станков для обработки металлов	28.41.4
67.	Станки для обработки камня, дерева и аналогичных твердых материалов	28.49.1
68.	Оправки для крепления инструмента	28.49.2
69.	Бульдозеры и бульдозеры с поворотным отвалом	28.92.21
70.	Грейдеры и планировщики самоходные	28.92.22
71.	Машины трамбовочные и дорожные катки самоходные	28.92.24
72.	Погрузчики фронтальные одноковшовые самоходные	28.92.25.000
73.	Экскаваторы одноковшовые и ковшовые погрузчики самоходные с поворотом кабины на 360° (полноповоротные машины), кроме фронтальных одноковшовых погрузчиков	28.92.26
74.	Экскаваторы и одноковшовые погрузчики самоходные прочие; прочие самоходные машины для добычи полезных ископаемых	28.92.27
75.	Отвалы бульдозеров неповоротные	28.92.28.110
76.	Отвалы бульдозеров поворотные	28.92.28.120
77.	Автомобили-самосвалы, предназначенные для использования в условиях бездорожья	28.92.29
78.	Копры и копровое оборудование для свайных работ	28.92.30.110
79.	Машины для распределения строительного раствора или бетона	28.92.30.150
80.	Машины для укладки гравия на дороге или аналогичных поверхностях, для поливки и пропитки поверхностей дорог битумными материалами	28.92.30.160
81.	Асфальтоукладчики	28.92.30.170
82.	Машины для выемки грунта и строительства прочие, не включенные в другие группировки	28.92.30.190
83.	Машины для смешивания и аналогичной обработки грунта, камня, руды и прочих минеральных веществ	28.92.40.130
84.	Тракторы гусеничные	28.92.50.000
85.	Печи хлебопекарные неэлектрические	28.93.15.110
86.	Оборудование для промышленного приготовления или подогрева пищи	28.93.15.120
87.	Машины для переработки мяса, овощей и теста (оборудование для механической обработки продуктов на предприятиях общественного питания)	28.93.17.110
88.	Оборудование для производства хлебобулочных изделий	28.93.17.120
89.	Аддитивные установки экструзии материала	28.96.10.122
90.	Аддитивные установки струйного связывающего нанесения	28.96.10.123
91.	Промышленные роботы и робототехнические устройства	28.99.39.200
92.	Автомобили легковые	29.10.2
93.	Средства автотранспортные для перевозки 10 или более человек	29.10.3
94.	Средства автотранспортные грузовые	29.10.4
95.	Автокраны	29.10.51.000
96.	Средства транспортные для движения по снегу, автомобили для перевозки игроков в гольф и аналогичные транспортные средства, оснащенные двигателями	29.10.52
97.	Средства автотранспортные для транспортирования строительных материалов	29.10.59.110
98.	Средства транспортные для коммунального хозяйства и содержания дорог	29.10.59.130
99.	Автомобили пожарные	29.10.59.140
100.	Средства транспортные для аварийно-спасательных служб и полиции	29.10.59.150
101.	Автомобили скорой медицинской помощи	29.10.59.160
102.	Средства транспортные для обслуживания нефтяных и газовых скважин	29.10.59.180
103.	Средства транспортные для перевозки нефтепродуктов	29.10.59.230
104.	Средства транспортные для перевозки пищевых жидкостей	29.10.59.240
105.	Средства транспортные для перевозки сжиженных углеводородных газов на давление до 1,8 МПа	29.10.59.250
106.	Средства транспортные, оснащенные подъемниками с рабочими платформами	29.10.59.270
107.	Средства транспортные - фургоны для перевозки пищевых продуктов	29.10.59.280
108.	Средства транспортные, оснащенные кранами-манипуляторами	29.10.59.310
109.	Снегоочистители	29.10.59.320
110.	Снегоболотоходы	29.10.59.330
111.	Вездеходы	29.10.59.340
112.	Средства автотранспортные специального назначения прочие, не включенные в другие группировки	29.10.59.390
113.	Контейнеры общего назначения (универсальные)	29.20.21.110
114.	Контейнеры специализированные	29.20.21.120
115.	Прицепы (полуприцепы) к легковым и грузовым автомобилям, мотоциклам, мотороллерам и квадрициклам	29.20.23.110
116.	Прицепы-цистерны и полуприцепы-цистерны для перевозки нефтепродуктов, воды и прочих жидкостей	29.20.23.120
117.	Прицепы и полуприцепы тракторные	29.20.23.130
118.	Прицепы и полуприцепы прочие, не включенные в другие группировки	29.20.23.190
119.	Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов	30.11.21
120.	Танкеры для перевозки нефти, нефтепродуктов, химических продуктов, сжиженного газа	30.11.22
121.	Суда рефрижераторные, кроме танкеров	30.11.23
122.	Суда сухогрузные	30.11.24
123.	Суда рыболовные; суда-рыбозаводы и прочие суда для переработки или консервирования рыбных продуктов	30.11.31
124.	Буксиры и суда-толкачи	30.11.32
125.	Земснаряды; плавучие маяки, плавучие краны; прочие суда	30.11.33
126.	Платформы плавучие или погружные и инфраструктура	30.11.40
127.	Конструкции плавучие прочие (включая плоты, понтоны, кессоны, дебаркадеры, буи и бакены)	30.11.50
128.	Суда прогулочные и спортивные	30.12
129.	Локомотивы железнодорожные и тендеры локомотивов	30.20.1
130.	Вагоны железнодорожные или трамвайные пассажирские самоходные (моторные), вагоны товарные (багажные) и платформы открытые, кроме транспортных средств, предназначенных для технического обслуживания или ремонта	30.20.2
131.	Состав подвижной прочий	30.20.3
132.	Части железнодорожных локомотивов или трамвайных моторных вагонов или прочего подвижного состава; путевое оборудование и устройства и их части; механическое оборудование для управления движением	30.20.4
133.	Вертолеты пассажирские	30.30.31.110
134.	Вертолеты грузовые	30.30.31.120
135.	Аппараты летательные прочие с массой пустого снаряженного аппарата не более 2000 кг	30.30.32.120
136.	Самолеты и прочие летательные аппараты с массой пустого снаряженного аппарата свыше 15000 кг	30.30.34
137.	Матрасы	31.03.1
138.	Мебель металлическая, не включенная в другие группировки	31.09.11
139.	Аппараты искусственной вентиляции легких, соответствующие кодам 232870, 232890 вида медицинского изделия в соответствии с номенклатурной классификацией	32.50.21.121 32.50.21.122 32.50.21.123
140.	Мебель медицинская в части: кровати больничной механической, соответствующей коду 120210 вида медицинского изделия в соответствии с номенклатурной классификацией; кровати больничной стандартной с электроприводом, соответствующей коду 136210 вида медицинского изделия в соответствии с номенклатурной классификацией; стеллажа для палаты пациента, соответствующего коду 156900 вида медицинского изделия в соответствии с номенклатурной классификацией; шкафа вытяжного, соответствующего коду 181470 вида медицинского изделия в соответствии с номенклатурной классификацией; ширмы прикроватной, соответствующей коду 184200 вида медицинского изделия в соответствии с номенклатурной классификацией; стеллажа общего назначения, соответствующего коду 260470 вида медицинского изделия в соответствии с номенклатурной классификацией; шкафа для сушки и хранения эндоскопов, соответствующего коду 271740 вида медицинского изделия в соответствии с номенклатурной классификацией	32.50.30.119, 32.50.30.111, 32.50.30.110, 32.50.50, 32.50.50.190
141.	Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки (только в отношении медицинских масок)	32.50.50.190
142.	Аппараты дыхательные автономные	32.99.11.130
143.	Одежда защитная огнестойкая	32.99.11.140
144.	Средства защиты головы и лица (только в отношении медицинских масок)	32.99.11.160
145.	Уборы головные защитные и средства защиты прочие, не включенные в другие группировки (только в отношении головных уборов из текстильных материалов)	32.99.11.190
146.	Программа для электронной вычислительной машины и (или) базы данных	58.2, 61, 62, 63, 64
147.	Аудиторские услуги	69.20.1
148.	Услуги по финансовым консультациям	66.19.91
149.	Услуги в области бухгалтерского учета	69.20.2
150.	Услуги в области налогового консультирования	69.20.3
151.	Услуги консультативные по вопросам финансового управления (кроме вопросов корпоративного налогообложения)	70.22.12
